iter	Passed	Remaining
0	155	155232
1	157	78357
2	158	52631
3	162	40502
4	166	33232
5	168	27920
6	169	24103
7	171	21237
8	172	19016
9	173	17218
10	176	15848
11	178	14707
12	180	13707
13	182	12824
14	183	12047
15	184	11359
16	185	10738
17	186	10199
18	188	9717
19	189	9287
20	192	8985
21	195	8709
22	197	8375
23	198	8062
24	199	7769
25	200	7497
26	201	7244
27	202	7014
28	203	6797
29	203	6593
30	205	6433
31	207	6275
32	208	6110
33	209	5956
34	210	5806
35	211	5661
36	212	5524
37	213	5394
38	213	5272
39	214	5157
40	215	5045
41	216	4940
42	217	4840
43	220	4785
44	221	4696
45	223	4626
46	224	4544
47	225	4464
48	226	4391
49	227	4319
50	228	4247
51	229	4175
52	229	4107
53	230	4042
54	231	3979
55	232	3920
56	233	3869
57	235	3828
58	236	3777
59	238	3730
60	239	3682
61	240	3636
62	241	3587
63	242	3540
64	242	3493
65	243	3449
66	244	3409
67	245	3370
68	247	3336
69	248	3304
70	251	3285
71	252	3253
72	253	3216
73	254	3181
74	255	3145
75	255	3111
76	256	3077
77	257	3044
78	258	3012
79	259	2980
80	260	2949
81	260	2920
82	261	2889
83	263	2868
84	265	2853
85	266	2833
86	267	2809
87	268	2784
88	269	2758
89	270	2733
90	271	2708
91	271	2684
92	272	2660
93	273	2637
94	274	2614
95	275	2592
96	277	2585
97	279	2568
98	280	2554
99	281	2533
100	282	2513
101	283	2494
102	284	2474
103	284	2455
104	285	2435
105	286	2417
106	287	2398
107	288	2381
108	289	2364
109	290	2346
110	291	2337
111	293	2326
112	294	2311
113	295	2296
114	296	2281
115	297	2266
116	298	2250
117	299	2235
118	299	2219
119	300	2204
120	301	2190
121	302	2176
122	303	2162
123	304	2149
124	306	2144
125	307	2132
126	308	2120
127	309	2110
128	310	2097
129	311	2084
130	312	2071
131	313	2059
132	313	2046
133	314	2034
134	315	2022
135	316	2011
136	317	1999
137	318	1988
138	319	1976
139	320	1971
140	322	1963
141	322	1950
142	323	1941
143	324	1931
144	325	1921
145	326	1911
146	327	1900
147	328	1890
148	329	1879
149	330	1870
150	330	1860
151	331	1850
152	332	1840
153	333	1831
154	335	1828
155	337	1824
156	338	1818
157	339	1811
158	340	1803
159	341	1794
160	342	1784
161	343	1775
162	344	1769
163	345	1760
164	346	1752
165	347	1744
166	348	1735
167	351	1739
168	352	1734
169	354	1729
170	355	1725
171	357	1719
172	358	1712
173	359	1705
174	360	1698
175	361	1690
176	362	1683
177	362	1675
178	364	1673
179	365	1666
180	367	1662
181	368	1657
182	369	1650
183	370	1643
184	371	1638
185	373	1634
186	374	1630
187	376	1625
188	377	1620
189	380	1620
190	381	1617
191	385	1621
192	386	1615
193	387	1610
194	388	1603
195	389	1597
196	390	1591
197	391	1584
198	392	1578
199	395	1580
200	396	1577
201	399	1576
202	399	1570
203	400	1563
204	401	1557
205	402	1550
206	403	1544
207	403	1537
208	404	1531
209	405	1525
210	406	1520
211	407	1514
212	408	1510
213	410	1508
214	411	1503
215	413	1499
216	414	1495
217	415	1490
218	416	1485
219	417	1479
220	418	1474
221	419	1468
222	420	1463
223	420	1458
224	421	1453
225	424	1455
226	427	1455
227	428	1450
228	429	1446
229	430	1441
230	431	1436
231	432	1431
232	433	1426
233	434	1421
234	434	1416
235	435	1411
236	437	1406
237	438	1405
238	440	1402
239	442	1400
240	443	1396
241	444	1391
242	445	1386
243	445	1381
244	446	1377
245	447	1372
246	448	1368
247	449	1363
248	450	1359
249	455	1367
250	458	1367
251	459	1364
252	460	1359
253	461	1355
254	462	1350
255	463	1346
256	464	1342
257	465	1338
258	466	1333
259	467	1331
260	469	1330
261	471	1327
262	472	1323
263	473	1320
264	474	1316
265	475	1313
266	476	1309
267	477	1305
268	478	1301
269	479	1297
270	482	1296
271	483	1294
272	485	1292
273	486	1289
274	487	1285
275	488	1281
276	489	1277
277	490	1273
278	491	1269
279	491	1265
280	492	1260
281	493	1256
282	494	1253
283	497	1254
284	499	1252
285	500	1250
286	502	1247
287	503	1244
288	504	1241
289	505	1237
290	506	1233
291	507	1229
292	508	1226
293	508	1222
294	511	1222
295	513	1222
296	515	1220
297	516	1216
298	517	1213
299	518	1210
300	519	1207
301	520	1203
302	522	1201
303	523	1197
304	524	1194
305	529	1199
306	530	1198
307	533	1198
308	539	1207
309	543	1210
310	547	1213
311	550	1212
312	552	1211
313	553	1209
314	556	1209
315	558	1208
316	559	1206
317	562	1205
318	563	1203
319	564	1200
320	565	1197
321	567	1194
322	568	1190
323	569	1187
324	574	1192
325	576	1192
326	578	1190
327	579	1187
328	580	1184
329	581	1181
330	582	1177
331	583	1174
332	584	1170
333	587	1171
334	589	1170
335	590	1167
336	593	1166
337	594	1163
338	595	1160
339	596	1157
340	596	1153
341	597	1150
342	598	1146
343	599	1143
344	602	1144
345	605	1144
346	606	1141
347	607	1138
348	609	1136
349	610	1133
350	611	1130
351	612	1127
